"suppliers_id","contracts_numb","avrg_contract_value","tot_wagons","suppliers_name"
"00178353",59,448.78796460177,43238,"ПАТ ""ДТЕК Павлоградвугілля"""
"00190905",171,503.002121212121,12010,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНГУЛЕЦЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ"""
"00191023",768,510.291134278565,49960,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ"""
"00290239",5,650.555217391304,285,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИРІВСЬКИЙ КАР'ЄР"""
"01033255",44,509.638595041322,755,"Приватне акціонерне товариство ""Микитівський гранітний кар'єр"""
"01374567",57,586.428769230769,5635,"Товариство з додатковою відповідальністю ""Коростенський щебзавод"""
"03327339",109,384.284444444444,2960,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РИЖІВСЬКИЙ ГРАНІТНИЙ КАР'ЄР"""
"04880386",1,572.88,5,"ПРАТ «Дікергофф Цемент Україна»"
"04990904",12,825.264,1080,"ІНОЗЕМНЕ ПІДПРИЄМСТВО ""ТОМАШГОРОДСЬКИЙ КАМЕНЕДРОБИЛЬНИЙ ЗАВОД"""
"14291113",35,685.945263157895,774,"Товариство з Обмеженою Відповідальністю Сільськогосподарське Підприємство  ""НІБУЛОН"""
"24705521",2,350,15,"Дочірнє підприємство ""Шпат"""
"25412361",3,922.062222222222,85,"ПрАТ «МИРОНІВСЬКИЙ ХЛІБОПРОДУКТ»"
"26054430",7,928.742222222222,207,"Товариство з обмеженою відповідальністю ""Політех - Транс"""
"26542750",50,529.346490066225,1370,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АРКАДА"""
"30478031",9,357.428571428571,140,"Приватне підприємство ""ТУЯ"""
"31158623",494,428.648221343874,1281152,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕТІНВЕСТ- ШІППІНГ"""
"31662953",10,1073.796875,672,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРАНС-ГРУП"""
"31788549",24,669.801666666667,1120,"ПІДПРИЄМСТВО, ЩО ПОВНІСТЮ НАЛЕЖИТЬ ІНОЗЕМНОМУ ІНВЕСТОРУ ""ГРАН-ІНВЕСТ"""
"32291375",4,533,35,"ТОВ ""ТЕП Транско"""
"32404265",71,596.289918367347,6770,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛЕСІВСЬКИЙ КАР'ЄР НЕРУДНИХ КОПАЛИН ""ТЕХНОБУД"""
"32559178",4,721.792727272727,55,"Товариство з обмеженою відповідальністю ""УКРАГРОСПІЛКА"""
"33201062",2,911.035,80,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГУЛЯНЕЦЬКИЙ ЩЕБЗАВОД"""
